Robert
Gesink
TDF2018
Stage12
15
long	lat	elev
6.770006	45.61928	901.2
6.76953	45.618747	903.4
6.769705	45.61839	905.6
6.769461	45.617683	906.6
6.769217	45.617012	910
6.768743	45.616381	913.4
6.767944	45.616106	918.8
6.767149	45.616061	924.6
6.766606	45.615567	929.2
6.766382	45.614855	931.2
6.766152	45.614077	934.8
6.765825	45.613194	937
6.765488	45.612268	939.2
6.765009	45.611358	941.2
6.763899	45.610545	942.4
6.76233	45.60978	942.4
6.760644	45.609231	939.2
6.75921	45.608372	935.8
6.758472	45.607171	933.6
6.757443	45.606095	931.6
6.756571	45.605	929.4
6.755775	45.603766	927.2
6.754387	45.602823	924
6.753383	45.601614	922
6.752623	45.600462	920.8
6.75168	45.599287	920.8
6.751314	45.597908	919.8
6.750558	45.596577	918.8
6.749867	45.595314	917.8
6.749071	45.594025	916.8
6.748315	45.592746	915.8
6.747567	45.591522	914.8
6.746969	45.590317	914.8
6.746695	45.588993	913.6
6.746363	45.587726	911.6
6.745436	45.586659	911.6
6.744138	45.585698	911.6
6.742718	45.584754	910.6
6.741424	45.583877	911.6
6.739829	45.583134	912.8
6.738318	45.581985	910.2
6.736858	45.580485	902.2
6.735231	45.579029	894.4
6.733183	45.577777	886.8
6.731169	45.576754	880.2
6.729057	45.575634	872.8
6.727007	45.574544	866.2
6.725101	45.573523	861.8
6.723095	45.573109	859.8
6.721395	45.572242	858.6
6.719613	45.57136	857.6
6.717925	45.570612	857.6
6.716464	45.56954	855.2
6.714695	45.568534	849
6.712863	45.56818	849
6.711139	45.567966	850.2
6.709406	45.567887	855
6.706961	45.568061	856.2
6.703841	45.568066	852.6
6.700704	45.567212	842.2
6.697626	45.566932	838.6
6.694998	45.566123	838.6
6.692186	45.565486	838.6
6.689165	45.564854	835.6
6.685577	45.56444	824
6.682636	45.564957	823
6.680126	45.564667	828
6.677289	45.563761	827.2
6.673902	45.562126	812.6
6.670355	45.560935	801.2
6.666349	45.559623	785.2
6.662949	45.557844	771
6.659614	45.556817	763.4
6.656278	45.557196	762.2
6.653463	45.557128	762.2
6.651527	45.55601	763.2
6.648477	45.555564	758.8
6.645153	45.555217	752.2
6.642594	45.554912	747
6.640261	45.554059	748.2
6.637986	45.553292	752.8
6.635606	45.552286	755
6.633328	45.551525	759.6
6.630574	45.551609	761.6
6.628245	45.551085	763.8
6.62626	45.550348	766
6.623343	45.549684	762.6
6.620804	45.550279	761.6
6.618403	45.549747	759.4
6.616058	45.548143	755.8
6.615757	45.54576	751
6.614926	45.543474	746.4
6.612598	45.542434	742.8
6.609643	45.542526	739.2
6.607042	45.541432	738.2
6.604683	45.540538	736.2
6.60359	45.538476	727
6.602841	45.535897	709.2
6.600862	45.533396	690.4
6.598845	45.531479	683.4
6.596506	45.530163	679.8
6.594173	45.529319	679.8
6.591973	45.528927	683.6
6.590059	45.528809	689.8
6.588397	45.528792	697.2
6.586793	45.528738	703.6
6.585196	45.528509	708
6.584095	45.527808	709.2
6.582994	45.527107	710.2
6.581893	45.526406	706.8
6.580791	45.525705	702.4
6.57969	45.525004	699
6.578589	45.524303	694.4
6.569934	45.518642	690.2
6.568601	45.51642	684.8
6.567322	45.514238	679
6.5658	45.512029	675.8
6.565262	45.509351	662.4
6.56394	45.506758	647.6
6.563367	45.504712	641
6.562413	45.502128	631.6
6.560057	45.499929	615.6
6.55724	45.497959	598.8
6.55468	45.495999	584.6
6.552697	45.494254	577.6
6.551229	45.492632	573.4
6.550393	45.491289	573.4
6.549462	45.490245	576.8
6.54821	45.489163	577.8
6.546455	45.487809	574
6.544854	45.486162	571.6
6.54296	45.484914	569.4
6.540026	45.484703	566.2
6.537878	45.483618	565.2
6.53567	45.483545	561.8
6.533493	45.484735	558.6
6.531054	45.485633	556.2
6.528868	45.486769	555.2
6.526712	45.487263	554
6.524657	45.488027	554
6.522613	45.48769	561.4
6.521151	45.488031	570
6.519919	45.488596	577.4
6.519527	45.489294	580.8
6.519135	45.489992	578.6
6.518743	45.49069	577.6
6.518351	45.491389	577.6
6.517959	45.492087	577.6
6.514574	45.496724	578.6
6.512733	45.497985	574.2
6.510402	45.499765	557.8
6.508777	45.501792	545
6.505651	45.501891	531.2
6.503126	45.501537	534
6.500964	45.502506	536.2
6.499063	45.503486	535
6.498119	45.504616	535
6.497296	45.505753	538.6
6.495902	45.507114	540.8
6.493507	45.507783	541.8
6.491126	45.508686	540.2
6.488705	45.510412	530
6.486905	45.51224	521.8
6.4859	45.513969	517.2
6.485774	45.516019	516
6.485497	45.518017	512.8
6.485039	45.51975	512.8
6.48312	45.520137	512.8
6.482308	45.521268	511.6
6.480707	45.522579	509.6
6.479588	45.52383	508.6
6.477999	45.525009	507.6
6.47642	45.526245	509.6
6.474908	45.528019	506.4
6.474416	45.529922	504.2
6.473835	45.531449	504.2
6.47346	45.532831	505.2
6.472364	45.533874	503
6.46901	45.535145	499.4
6.467703	45.5366	498.4
6.466574	45.538262	494
6.465946	45.539831	494
6.466107	45.541528	499.4
6.465477	45.54241	508.4
6.465233	45.543139	516.4
6.464853	45.543863	524.2
6.4645	45.544478	530.6
6.46434	45.545212	538.2
6.464225	45.546115	545.6
6.46405	45.546905	555.8
6.463882	45.546375	563.8
6.463752	45.54546	571.8
6.463922	45.544341	577.8
6.463675	45.544579	582.8
6.463355	45.54539	589.8
6.463267	45.54621	597.6
6.463221	45.546841	606.4
6.463257	45.547569	614.6
6.463016	45.546854	621.6
6.462746	45.546101	630.6
6.462517	45.545503	638.2
6.462494	45.544881	647.2
6.46223	45.545327	655
6.462284	45.54597	661.8
6.46237	45.546522	669.8
6.462451	45.547165	678.2
6.462135	45.547725	684.8
6.461622	45.548174	692
6.460985	45.548664	700
6.460968	45.549354	707.2
6.460548	45.54915	713.8
6.460347	45.548386	720.4
6.460206	45.547763	726.4
6.460298	45.547187	733.2
6.461112	45.546438	740.4
6.460437	45.54663	747.2
6.459798	45.547182	754.2
6.459927	45.54688	760.8
6.460153	45.546205	766.8
6.460556	45.545636	772.6
6.460756	45.54489	780.4
6.460775	45.544035	787.6
6.460387	45.543102	794.8
6.459896	45.542219	801.4
6.459858	45.5414	808
6.459776	45.540598	815.6
6.459624	45.539751	823.2
6.459705	45.538926	829.2
6.459653	45.538006	836.2
6.459687	45.537241	843.2
6.460428	45.536757	851.4
6.461219	45.536003	859.2
6.461855	45.535312	866.2
6.462115	45.534597	872.4
6.462578	45.533875	877.8
6.462977	45.533122	884.2
6.463142	45.532205	890.2
6.463473	45.531233	895.6
6.463551	45.53027	902.2
6.4634	45.529518	908.8
6.462932	45.528718	914
6.461904	45.527963	919.6
6.461025	45.527241	924.4
6.460751	45.52645	928.8
6.460772	45.525502	934.6
6.460684	45.52466	941
6.460137	45.52379	950.8
6.4594	45.523221	959
6.458895	45.522613	965.6
6.458339	45.522	973.4
6.457626	45.521416	980
6.457059	45.520783	986.8
6.45674	45.520502	992.8
6.457124	45.521293	997.8
6.457659	45.522063	1003.6
6.458367	45.522694	1009.8
6.457733	45.522446	1015.8
6.457073	45.521875	1022.2
6.456387	45.521319	1028.6
6.455808	45.520774	1034.4
6.455282	45.520232	1041
6.454465	45.519903	1047.2
6.452961	45.519519	1049.4
6.453862	45.518933	1048.4
6.454055	45.518159	1054.6
6.452695	45.517166	1057.2
6.451715	45.515868	1059.2
6.450609	45.514767	1065
6.449565	45.513903	1069.6
6.44841	45.513142	1074
6.446866	45.513469	1079.8
6.445439	45.513465	1087.2
6.444781	45.513145	1093.6
6.445217	45.512363	1100.4
6.445946	45.511618	1105.2
6.446604	45.510594	1108.6
6.446665	45.509462	1110.8
6.445831	45.50821	1112
6.444838	45.506211	1107.4
6.443165	45.504491	1100.4
6.441935	45.503252	1100.4
6.440526	45.501889	1100.4
6.438806	45.500335	1099.4
6.437051	45.49869	1097.2
6.435056	45.497211	1096.2
6.433888	45.495908	1098.4
6.432232	45.495353	1101.6
6.43197	45.494347	1106.8
6.43161	45.493531	1114.4
6.431032	45.492723	1120.8
6.430925	45.491978	1128.2
6.430512	45.491631	1135
6.430562	45.492504	1140.4
6.430973	45.493395	1146.4
6.431152	45.494288	1153
6.430967	45.495137	1159.2
6.430877	45.494306	1165.4
6.430482	45.49346	1172.4
6.430007	45.492641	1179.4
6.429434	45.491829	1185.8
6.428893	45.491028	1193.6
6.428114	45.490561	1201
6.428285	45.489785	1207.4
6.427743	45.489097	1214.8
6.427364	45.488442	1222.6
6.428043	45.487964	1229
6.427843	45.487477	1236.6
6.427477	45.486886	1243.6
6.427214	45.486894	1251
6.426762	45.487396	1259.2
6.426683	45.487778	1265.4
6.426191	45.487227	1272.6
6.42645	45.486697	1278.8
6.426161	45.486085	1284.6
6.425317	45.485554	1290.4
6.425088	45.484832	1296.4
6.424469	45.484228	1303.2
6.424057	45.483603	1309.2
6.423589	45.482894	1316.6
6.422678	45.482522	1323.8
6.421788	45.482356	1330
6.421869	45.481693	1334.8
6.421561	45.480908	1342.6
6.421269	45.480065	1351.4
6.42082	45.479449	1358.4
6.420727	45.478799	1364.8
6.420337	45.478767	1370.6
6.420163	45.479385	1376.4
6.419707	45.478831	1382.8
6.41896	45.478256	1389.4
6.418099	45.477749	1396
6.41768	45.477071	1401.8
6.418173	45.476626	1408.4
6.41856	45.476214	1416.6
6.418412	45.475598	1423.6
6.417714	45.475094	1432
6.417198	45.4745	1440.4
6.416633	45.474086	1450
6.415913	45.473826	1456.8
6.415255	45.473467	1463
6.414879	45.473524	1469.6
6.415604	45.473997	1475.2
6.41617	45.474455	1480
6.415959	45.475045	1485.4
6.414933	45.47522	1491
6.413951	45.475469	1496.4
6.413419	45.475607	1502.2
6.414103	45.475204	1507.2
6.414743	45.474908	1513
6.414923	45.474485	1519.8
6.414233	45.474232	1526.2
6.413501	45.474264	1532
6.412842	45.47408	1537.6
6.412317	45.473828	1543.6
6.411822	45.47353	1549.6
6.412038	45.47305	1554.4
6.41154	45.47263	1560.8
6.411004	45.472291	1567
6.410438	45.471992	1573.6
6.409783	45.47177	1579.4
6.409323	45.471332	1586.2
6.408727	45.471066	1594.6
6.408224	45.470645	1601.8
6.407794	45.470095	1609
6.406954	45.46979	1617.6
6.406123	45.469552	1625
6.40519	45.46948	1633.8
6.404297	45.469715	1641.4
6.403468	45.469698	1649.8
6.402727	45.469737	1657.6
6.402049	45.469991	1664.4
6.401309	45.47014	1670.8
6.400597	45.470041	1677.4
6.400294	45.469551	1682.2
6.400702	45.468734	1684.6
6.401192	45.467801	1686.6
6.40159	45.466823	1691.2
6.402201	45.466109	1697.2
6.402258	45.465046	1700.6
6.401819	45.464025	1701.6
6.401431	45.463049	1705
6.400853	45.462216	1708.2
6.400193	45.461373	1712.6
6.399503	45.460495	1715.8
6.398665	45.459518	1719.2
6.397567	45.458636	1722.6
6.396451	45.457643	1725
6.395001	45.457246	1728.2
6.39413	45.456525	1731.4
6.395105	45.455903	1734.8
6.395979	45.45525	1739.6
6.396756	45.454392	1744.4
6.397272	45.453461	1748
6.397255	45.452524	1751.4
6.397063	45.451524	1756
6.396685	45.450535	1760.6
6.396261	45.449697	1765.2
6.39565	45.449047	1770
6.395117	45.448425	1776.2
6.394567	45.447832	1782.2
6.394049	45.447329	1789
6.393495	45.446894	1795.8
6.392934	45.446527	1802.6
6.392339	45.44617	1809.6
6.391735	45.445808	1816.4
6.391015	45.44564	1823.2
6.39021	45.445542	1830
6.389445	45.445323	1837.2
6.388748	45.445063	1844
6.388065	45.444825	1852.4
6.387253	45.444657	1859.6
6.386423	45.444558	1867
6.385575	45.444539	1874.6
6.384752	45.444537	1881.4
6.383917	45.4445	1890
6.383057	45.444446	1897.2
6.38221	45.444288	1904.6
6.381603	45.443969	1912.6
6.381285	45.443473	1921.2
6.381339	45.442908	1928.8
6.381686	45.442338	1935.6
6.382057	45.441942	1941.6
6.381202	45.442181	1948
6.380458	45.442691	1954.6
6.379885	45.443203	1961.2
