Thomas
DeGendt 
TDF2018
Stage17
30
long	lat	elev
0.588755	42.793545	633
0.58593	42.793499	637
0.583257	42.794125	652
0.58066	42.794262	669
0.578617	42.795036	684
0.576483	42.795799	700
0.574222	42.796085	715
0.572075	42.796532	731
0.569588	42.796314	741
0.566702	42.797485	747
0.565133	42.800373	749
0.562802	42.802849	758
0.56165	42.80442	771
0.560952	42.805698	786
0.560067	42.80534	796
0.559687	42.805454	808
0.559403	42.806225	822
0.558097	42.8055	835
0.556487	42.80595	848
0.55439	42.806038	859
0.55237	42.805916	875
0.5505	42.806137	889
0.548058	42.806381	900
0.545642	42.806484	912
0.542905	42.806168	922
0.540227	42.80629	934
0.537853	42.806576	946
0.535027	42.806721	950
0.531838	42.807087	963
0.529705	42.807285	977
0.528025	42.806805	991
0.526283	42.806332	1005
0.524495	42.806103	1018
0.522852	42.806045	1030
0.521368	42.806225	1042
0.519982	42.806763	1054
0.519478	42.807774	1067
0.518568	42.808701	1078
0.515905	42.808681	1086
0.5136	42.808025	1096
0.511813	42.808178	1109
0.509983	42.807774	1122
0.507872	42.807228	1132
0.505872	42.8069	1144
0.503967	42.806625	1157
0.5027	42.805721	1170
0.500898	42.805809	1182
0.499293	42.806526	1194
0.497188	42.806339	1205
0.495207	42.806362	1218
0.49348	42.80669	1231
0.491785	42.80695	1244
0.489918	42.807316	1256
0.487767	42.807594	1267
0.485615	42.807583	1280
0.483467	42.807396	1294
0.481863	42.806419	1306
0.48051	42.805435	1317
0.478617	42.804787	1329
0.476763	42.804207	1342
0.47524	42.803387	1355
0.473715	42.802311	1366
0.471883	42.801441	1376
0.470057	42.801685	1389
0.4689	42.802555	1403
0.469515	42.803753	1414
0.468288	42.802937	1425
0.467303	42.801807	1437
0.467363	42.802719	1448
0.468187	42.80394	1460
0.468383	42.804493	1469
0.467023	42.803444	1482
0.465323	42.802784	1495
0.463505	42.802345	1506
0.460065	42.801968	1507
0.456858	42.800457	1516
0.455122	42.799885	1531
0.454158	42.798721	1543
0.45473	42.796925	1552
0.454108	42.795368	1562
0.451758	42.795856	1574
0.449428	42.796947	1583
0.445073	42.796688	1569
0.439825	42.794842	1539
0.438098	42.794823	1511
0.432092	42.795933	1464
0.430967	42.794842	1439
0.425813	42.798218	1377
0.431533	42.800953	1330
0.426228	42.802475	1309
0.425297	42.808243	1257
0.428223	42.813274	1199
0.42374	42.810326	1159
0.422025	42.81023	1123
0.421485	42.814674	1076
0.418015	42.819889	1032
0.414578	42.823887	981
0.415555	42.820957	980
0.41518	42.817326	949
0.413672	42.815056	924
0.411017	42.81324	923
0.409808	42.811409	929
0.410487	42.810814	940
0.409352	42.810108	952
0.410722	42.808121	959
0.412187	42.805527	960
0.411092	42.801407	939
0.408933	42.798664	938
0.406642	42.796486	942
0.40527	42.799885	941
0.404375	42.803295	936
0.403382	42.806045	942
0.40236	42.808701	946
0.40089	42.807846	955
0.39993	42.806972	968
0.399778	42.806015	979
0.400485	42.804974	990
0.400778	42.803848	1001
0.401005	42.802555	1012
0.400737	42.801937	1025
0.400117	42.803238	1036
0.399315	42.804336	1048
0.39956	42.803303	1060
0.399913	42.801979	1072
0.399238	42.802669	1083
0.398392	42.803566	1095
0.398767	42.802612	1107
0.398782	42.801815	1118
0.398152	42.802711	1129
0.397067	42.803402	1140
0.396205	42.804092	1151
0.396322	42.803574	1161
0.396815	42.802654	1172
0.397425	42.801765	1184
0.397002	42.801426	1195
0.395763	42.802189	1205
0.396045	42.801529	1217
0.396518	42.80056	1229
0.395437	42.801182	1239
0.394388	42.802044	1250
0.394482	42.801491	1262
0.39509	42.800407	1271
0.395185	42.799114	1282
0.394512	42.798218	1293
0.393985	42.797436	1304
0.392873	42.798382	1313
0.392168	42.79982	1324
0.391393	42.800911	1335
0.38995	42.801815	1346
0.388505	42.802685	1356
0.388172	42.802994	1365
0.389202	42.801479	1375
0.389803	42.800178	1387
0.389845	42.798828	1398
0.388433	42.798317	1407
0.388383	42.799675	1420
0.388027	42.800816	1430
0.387815	42.800278	1438
0.387328	42.799087	1451
0.386335	42.798046	1461
0.385242	42.797096	1471
0.384473	42.795998	1483
0.383873	42.794849	1495
0.383088	42.793602	1506
0.381772	42.792709	1518
0.381095	42.792618	1525
0.380582	42.796875	1489
0.374305	42.798168	1446
0.370327	42.800953	1418
0.369073	42.803955	1403
0.363882	42.806332	1358
0.360342	42.810986	1313
0.35702	42.814373	1269
0.352888	42.817203	1224
0.354357	42.81395	1194
0.352338	42.810513	1150
0.350605	42.811825	1121
0.350405	42.812988	1095
0.347357	42.811417	1067
0.346703	42.816177	1023
0.343072	42.818733	979
0.34386	42.816608	948
0.341547	42.817162	925
0.336412	42.818848	903
0.33189	42.819386	900
0.328992	42.816235	883
0.324947	42.813347	859
0.319313	42.812637	836
0.318002	42.813404	823
0.320607	42.81675	813
0.322673	42.820156	805
0.323265	42.823616	797
0.319723	42.825096	804
0.31798	42.826645	813
0.31865	42.828117	826
0.319148	42.829597	834
0.320083	42.830517	847
0.320733	42.831478	857
0.32161	42.832657	867
0.322145	42.833633	878
0.323003	42.834366	890
0.323837	42.835098	900
0.324772	42.835823	911
0.325452	42.836525	921
0.325592	42.836906	931
0.324563	42.836311	942
0.323568	42.835781	951
0.322695	42.835239	961
0.321898	42.834888	972
0.320883	42.83501	982
0.320495	42.834263	991
0.319675	42.833519	1002
0.318747	42.832806	1014
0.317878	42.832111	1023
0.31699	42.83147	1034
0.315918	42.831192	1045
0.314873	42.831371	1055
0.313803	42.831406	1065
0.313322	42.830517	1076
0.311935	42.830616	1088
0.310588	42.830601	1099
0.309337	42.830532	1109
0.308328	42.830723	1120
0.307233	42.830616	1130
0.307267	42.830761	1139
0.308467	42.831192	1148
0.308643	42.831371	1155
0.307413	42.831104	1166
0.30631	42.831413	1175
0.30522	42.831543	1185
0.303895	42.831428	1193
0.302545	42.83165	1202
0.301568	42.8312	1212
0.300508	42.830982	1222
0.299347	42.830891	1232
0.298185	42.83086	1240
0.296882	42.83091	1250
0.295507	42.830891	1259
0.29462	42.830185	1268
0.293455	42.829525	1277
0.292445	42.829109	1287
0.291237	42.828842	1295
0.28945	42.82832	1302
0.287417	42.827953	1308
0.286338	42.827415	1319
0.28506	42.827415	1328
0.28387	42.827579	1338
0.282727	42.827587	1347
0.281497	42.827564	1357
