Romain
Bardet
TDF2018
Stage19
60
long	lat	elev
0.000442	43.094612	389
0.009322	43.094589	389
0.01892	43.098152	393
0.02938	43.10152	389
0.034295	43.108074	385
0.041928	43.111362	381
0.049563	43.114101	383
0.05405	43.112385	410
0.057767	43.114029	437
0.061698	43.115917	464
0.066458	43.116432	492
0.07241	43.118172	501
0.08125	43.118675	506
0.086727	43.118668	522
0.095728	43.116123	473
0.108103	43.117252	441
0.1129	43.112598	444
0.116397	43.107105	453
0.12104	43.101662	458
0.126438	43.097763	469
0.131875	43.0924	478
0.136088	43.086246	487
0.139828	43.08007	499
0.143103	43.074699	508
0.146177	43.069458	520
0.149172	43.066429	526
0.155332	43.068768	526
0.159178	43.07447	548
0.160498	43.077099	573
0.163412	43.080101	601
0.167937	43.084309	610
0.177013	43.090176	598
0.188345	43.096199	535
0.192425	43.101398	546
0.197522	43.106926	550
0.202667	43.110783	558
0.215412	43.113125	525
0.226305	43.115211	491
0.23469	43.117569	458
0.245345	43.110481	370
0.261255	43.109886	304
0.261028	43.114517	306
0.259035	43.119263	292
0.261307	43.121826	296
0.262375	43.125359	297
0.261632	43.130997	309
0.262057	43.13557	330
0.267828	43.135124	340
0.273232	43.132919	348
0.276803	43.130573	366
0.282553	43.129021	380
0.288785	43.129711	395
0.294445	43.129093	411
0.299343	43.128132	426
0.30302	43.126026	443
0.305342	43.12286	458
0.308295	43.120987	480
0.311222	43.119472	500
0.31419	43.117603	520
0.314858	43.116535	538
0.315178	43.114883	559
0.31561	43.111858	585
0.313543	43.106789	597
0.318155	43.102318	609
0.327125	43.099415	613
0.332488	43.094498	625
0.336768	43.089111	637
0.343052	43.08527	646
0.350767	43.081829	651
0.359617	43.080769	648
0.361905	43.075905	641
0.36029	43.069076	648
0.359677	43.062736	651
0.360855	43.056374	659
0.3618	43.051357	674
0.36307	43.044987	678
0.364948	43.036644	664
0.369177	43.027309	626
0.372452	43.019703	621
0.37302	43.013264	623
0.377945	43.005753	605
0.373893	42.998592	600
0.374803	42.990944	597
0.375748	42.983684	606
0.376132	42.976662	611
0.376073	42.970215	616
0.378248	42.964168	623
0.379012	42.958424	634
0.375677	42.951504	638
0.373763	42.945026	647
0.371065	42.939533	658
0.368155	42.933342	670
0.367133	42.926285	679
0.363335	42.918938	686
0.359043	42.912453	693
0.359433	42.91119	704
0.35864	42.91412	726
0.355302	42.916252	747
0.349275	42.917553	766
0.3469	42.920101	783
0.349758	42.919052	803
0.353015	42.918327	821
0.356677	42.918156	843
0.359195	42.920418	861
0.35952	42.923901	880
0.358663	42.921654	902
0.355707	42.920727	926
0.35252	42.922199	949
0.349325	42.924496	972
0.346553	42.926903	990
0.345117	42.928036	1009
0.348653	42.927197	1028
0.351995	42.925457	1050
0.352988	42.925758	1073
0.351262	42.927769	1096
0.349727	42.929794	1120
0.347688	42.931713	1142
0.346342	42.934219	1166
0.344518	42.936417	1188
0.342338	42.938389	1209
0.33924	42.938641	1229
0.336743	42.940227	1249
0.336828	42.940716	1270
0.340093	42.940071	1294
0.343527	42.94035	1316
0.342435	42.941017	1341
0.338905	42.941795	1361
0.335995	42.94331	1383
0.33238	42.943863	1407
0.32912	42.94265	1430
0.322692	42.943871	1422
0.312028	42.943138	1363
0.302202	42.940624	1295
0.293182	42.942463	1215
0.291452	42.940697	1152
0.283463	42.942799	1090
0.273777	42.945614	1077
0.26764	42.951328	1047
0.257363	42.958317	993
0.248005	42.964771	958
0.245173	42.974415	911
0.239693	42.980511	902
0.22981	42.982021	852
0.228558	42.98164	865
0.229733	42.976669	879
0.230887	42.972965	895
0.230747	42.968952	913
0.230272	42.962612	919
0.228518	42.95805	944
0.227637	42.953514	965
0.225512	42.949673	983
0.222572	42.9468	1005
0.219977	42.944874	1032
0.217282	42.942642	1058
0.214027	42.940575	1088
0.211033	42.937981	1122
0.208525	42.935467	1152
0.205477	42.933193	1182
0.202663	42.93042	1211
0.20007	42.927929	1236
0.197058	42.925961	1260
0.200017	42.924732	1287
0.204083	42.923908	1320
0.20671	42.921493	1350
0.208568	42.91898	1377
0.208848	42.917358	1404
0.206308	42.919563	1429
0.203738	42.921486	1456
0.200358	42.922413	1482
0.19742	42.921501	1507
0.195172	42.920834	1533
0.191042	42.919289	1557
0.188872	42.917244	1579
0.187142	42.915298	1603
0.185745	42.91325	1629
0.183853	42.911499	1654
0.180907	42.910221	1677
0.178312	42.911076	1695
0.174815	42.910564	1717
0.171107	42.910313	1739
0.167392	42.909504	1766
0.163713	42.909489	1794
0.160478	42.908611	1814
0.15741	42.907242	1840
0.154012	42.906528	1869
0.156277	42.908432	1898
0.155347	42.909603	1927
0.152818	42.908577	1952
0.149705	42.908569	1975
0.14829	42.906746	1997
0.14748	42.907463	2018
0.145308	42.908398	2039
